"destacado_fmd_si_no","categoria_curada","design_id","slug","nombre_visible","ids_origen","categoria_album_actual","tags_actuales","imagen_principal","destacado_actual","visibility_tier_actual","commercial_priority_actual"
"","","cd-megadeth-i-don-t-care-circular-blanca--p246","cd-megadeth-i-don-t-care-circular-blanca-p246","I Don't Care Circular Blanca","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/frente-circular-idont-care-blanca.jpg","NO","catalog","58"
"","","cd-megadeth-i-don-t-care-circular-negro--p246","cd-megadeth-i-don-t-care-circular-negro-p246","I Don't Care Circular Negro","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/frente-circular-idont-care-negro.jpg","NO","catalog","58"
"","","cd-megadeth-i-don-t-care-original--p246","cd-megadeth-i-don-t-care-original-p246","I Don't Care Original","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/i_dont_care.jpg","NO","catalog","58"
"","","cd-megadeth-i-don-t-care-v1--p246","cd-megadeth-i-don-t-care-v1-p246","I Don't Care v1","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/i_dont_care_v1.jpg","NO","catalog","58"
"","","cd-megadeth-i-don-t-care-v2--p246","cd-megadeth-i-don-t-care-v2-p246","I Don't Care v2","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/i_dont_care_v2.jpg","NO","catalog","58"
"","","cd-megadeth-i-don-t-care-v3--p246","cd-megadeth-i-don-t-care-v3-p246","I Don't Care v3","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/i_dont_care_v3.jpg","NO","catalog","58"
"","","cd-megadeth-in-my-darkest-hour--p31","cd-megadeth-in-my-darkest-hour-p31","In My Darkest Hour","31","Musician","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Members","images/musicians/formaciones/in_my_darkest_hour.jpg","NO","catalog","56"
"","","cd-megadeth-killing-is-my-bussines--killing-fmd","cd-megadeth-killing-is-my-bussines-killing-fmd","Killing FMD","1","Album | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Killing Is My Business... and Business Is Good! | remera | buzo_cuello_redondo | Megadeth Albums","images/albums/Killing_Is_my_bussines/remera_killing_fmd.jpg","SI","featured","88"
"","","cd-megadeth-killing-fmd--p5057","cd-megadeth-killing-fmd-p5057","Killing FMD","5057","Hoodies FMD | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | Killing Is My Business... and Business Is Good! | hoodie | Megadeth Archive","images/albums/Killing_Is_my_bussines/hoodie_killing_fmd.jpg","SI","featured","78"
"","","cd-megadeth-killing-is-my-bussines--killing-is-my-business-art-2012","cd-megadeth-killing-is-my-bussines-killing-is-my-business-art-2012","Killing Is My Business Art 2012","1","Album | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Killing Is My Business... and Business Is Good! | remera | buzo_cuello_redondo | Megadeth Albums","images/albums/Killing_Is_my_bussines/kimb_art_2012.jpg","SI","featured","88"
