id,code,name,legacyCategory,declaredGarments,inferredGarments,proposedGarments,variantGarments,variantsCount,status,missingFromDeclared,unsupportedDeclared,designKey,image
"407","","Dorso Vic Tour BLK","Dorsales","remera","remera","remera","","0","consistent","","","vic-tour-blk","images/dorsos/dorso_vic_tour_blk.jpg"
"5019","","Dorso Dave Argentina","Dorsales","remera","remera","remera","","0","consistent","","","dave-argentina","images/dorsos/dorso_dave_argentina.jpg"
"5020","","Dorso Tour","Dorsales","remera","remera","remera","","0","consistent","","","tour","images/dorsos/dorso_tour.jpg"
"5021","","Dorso Arg Tour","Dorsales","remera","remera","remera","","0","consistent","","","arg-tour","images/dorsos/dorso_arg_tour.png"
"1064","","Anatomy of Vic","VicRattlehead","remera","remera","remera","","3","consistent","","","anatomy-of-vic","images/vic_rattlehead/anatomy_of_vic_v1.jpg"
"5124","","Countdown Vic","VicRattlehead","remera","remera","remera","","2","consistent","","","countdown-vic","images/vic_rattlehead/countdown_vic_v1.jpg"
"1066","","Vic Kimb Vintage Real","VicRattlehead","remera","remera","remera","","0","consistent","","","vic-kimb-vintage-real","images/vic_rattlehead/vic_kimb_vintage_real.jpg"
"5023","","Vic Terminator","VicRattlehead","remera","remera","remera","","2","consistent","","","vic-terminator","images/vic_rattlehead/vic_terminator_frente.jpg"
"5022","","The Sick, The Dying... and The Dead","Singles","remera","remera","remera","","5","consistent","","","the-sick-the-dying-and-the-dead","images/singles/killing_time.jpg"
"5024","","Vic The Sick Trono","VicRattlehead","remera","remera","remera","","2","consistent","","","vic-the-sick-trono","images/vic_rattlehead/ts_v1.jpg"
"5025","","Vic Rust Muro","VicRattlehead","remera","remera","remera","","2","consistent","","","vic-rust-muro","images/vic_rattlehead/vic_rust_muro.jpg"
"5026","","Vic Helicopter","VicRattlehead","remera","remera","remera","","0","consistent","","","vic-helicopter","images/vic_rattlehead/vic_helicopter.jpg"
"5027","","Vic Bad Omen","VicRattlehead","remera","remera","remera","","0","consistent","","","vic-bad-omen","images/vic_rattlehead/vic_bad_omen.jpg"
"5028","","Vic Set the World Afire","VicRattlehead","remera","remera","remera","","0","consistent","","","vic-set-the-world-afire","images/vic_rattlehead/vic_set_the_world_afire.jpg"
"5029","","Vic Sells","VicRattlehead","remera","remera","remera","","2","consistent","","","vic-sells","images/vic_rattlehead/vic_sells.jpg"
